voter_id,dim1,dim2,dim3,priezvisko,meno,kand. listina,datum
36,-32.19081923848688,-6.152378884157109,-15.58925386508932,Faič,Vladimír,SMER – sociálna demokracia,1. pol. 2020
40,-36.56375456163629,0.058847794371564774,-17.7046584282966,Fico,Robert,SMER – sociálna demokracia,1. pol. 2020
61,-32.764389190998585,1.9214558907895465,-15.19547505045786,Jarjabek,Dušan,SMER – sociálna demokracia,1. pol. 2020
100,16.18722302573299,10.786948034646032,9.498292400081336,Osuský,Peter,Sloboda a Solidarita,1. pol. 2020
147,16.840474371343824,-1.4147604413251558,8.41090634464459,Záborská,Anna,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",1. pol. 2020
233,-32.903869085193655,1.8571412023582958,-15.016118872223375,Baška,Jaroslav,SMER – sociálna demokracia,1. pol. 2020
238,-31.840701032263173,-0.4602232242317225,-15.639423745049692,Blanár,Juraj,SMER – sociálna demokracia,1. pol. 2020
275,-34.57416634552042,2.3051281142561155,-17.313129103491008,Kondrót,Maroš,SMER – sociálna demokracia,1. pol. 2020
293,-33.039073442385785,2.0539326498427104,-15.404977484788418,Vážny,Ľubomír,SMER – sociálna demokracia,1. pol. 2020
322,-32.778439768872275,-0.28941885544126933,-15.508656841080393,Muňko,Dušan,SMER – sociálna demokracia,1. pol. 2020
656,-32.58703477239504,-1.9591926158842978,-16.657130948595995,Galis,Dušan,SMER – sociálna demokracia,1. pol. 2020
668,-34.10106323889108,-1.1736773951442465,-15.468176130153065,Kubánek,Stanislav,SMER – sociálna demokracia,1. pol. 2020
682,-32.18961327071989,2.2362757110793123,-15.211725309602494,Pellegrini,Peter,SMER – sociálna demokracia,1. pol. 2020
683,-31.546941134851238,4.100429041835474,-15.404340057017126,Petrák,Ľubomír,SMER – sociálna demokracia,1. pol. 2020
685,-26.900203520836385,-1.4159328248948095,-12.122497793620278,Podmanický,Ján,SMER – sociálna demokracia,1. pol. 2020
689,-33.151114588092256,1.1455744312417915,-15.590437517708784,Richter,Ján,SMER – sociálna demokracia,1. pol. 2020
691,-35.57385268299984,1.6687288286189137,-16.713235202479446,Žiga,Peter,SMER – sociálna demokracia,1. pol. 2020
705,-34.295053687284636,2.5777358265002346,-15.905448104166535,Valocký,Jozef,SMER – sociálna demokracia,1. pol. 2020
732,-28.18084120922804,2.0528779252485383,-12.254594305590967,Vaľová,Jana,SMER – sociálna demokracia,1. pol. 2020
761,-33.646514909549346,0.899933755601575,-16.196417974332125,Raši,Richard,SMER – sociálna demokracia,1. pol. 2020
762,-34.03722585896708,-0.09406397393278752,-15.989446824882798,Saloň,Marián,SMER – sociálna demokracia,1. pol. 2020
769,-34.653243885859276,0.5001455904915824,-16.13917947870238,Šuca,Peter,SMER – sociálna demokracia,1. pol. 2020
776,16.118578281390995,7.0076887008718165,9.086271939261637,Žitňanská,Jana,ZA ĽUDÍ,1. pol. 2020
779,15.04731655799211,11.594861287058146,9.096789022104826,Dostál,Ondrej,Sloboda a Solidarita,1. pol. 2020
847,15.731155389658767,11.707659062221017,9.649651606970531,Laurenčík,Milan,Sloboda a Solidarita,1. pol. 2020
858,-33.20817323026267,-13.540819680372167,-19.13107256957238,Kuffa,Štefan,Kotlebovci - Ľudová strana Naše Slovensko,1. pol. 2020
860,17.535634385723725,-0.3555200449529469,8.976716565626077,Horváthová,Eva,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",1. pol. 2020
861,17.343900926915982,-1.342340694199542,8.584471261332297,Vašečka,Richard,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",1. pol. 2020
871,-34.58875390852943,0.21934935907908365,-17.166045857087045,Baláž,Vladimír,SMER – sociálna demokracia,1. pol. 2020
873,-31.924384448334695,-1.1543037990903808,-15.235730886768147,Kéry,Marián,SMER – sociálna demokracia,1. pol. 2020
877,-33.970006535627505,-0.5020785180077494,-16.680131340395583,Susko,Boris,SMER – sociálna demokracia,1. pol. 2020
879,-33.90469970494136,1.44008754303498,-15.803045340875743,Puci,Róbert,SMER – sociálna demokracia,1. pol. 2020
